favorite_count,retweet_count,tweet_id
6632,1243,828409743546925057
8069,1388,828408677031882754
13307,2409,828381636999917570
7783,1149,828376505180889089
13228,3183,828372645993398273
2316,183,828361771580813312
12401,3092,828046555563323392
10925,2318,828011680017821696
21241,5646,827933404142436356
16250,3246,827653905312006145
7812,1025,827600520311402496
16735,3316,827324948884643840
11151,2425,827199976799354881
22778,5413,826958653328592898
38498,11051,826848821049180160
0,4275,826615380357632002
5400,272,826598799820865537
10642,2542,826598365270007810
19459,4539,826476773533745153
14031,2805,826240494070030336
5160,1008,826204788643753985
16539,3400,826115272272650244
11054,2025,825876512159186944
13462,2694,825829644528148480
55045,18613,825535076884762624
19353,4955,825147591692263424
0,1386,825120256414846976
6713,1386,825026590719483904
0,5955,824796380199809024
15840,3813,824775126675836928
10660,1883,824663926340194305
12468,11257,824325613288833024
15933,4196,824297048279236611
5048,641,824025158776213504
11257,2940,823939628516474880
0,12162,823719002937630720
13316,2619,823699002998870016
13803,2869,823581115634085888
737,27,823333489516937216
16670,4357,823322678127919110
0,10693,823269594223824897
18307,3732,822975315408461824
140178,47602,822872901745569793
14014,2484,822859134160621569
0,6958,822647212903690241
15652,3227,822610361945911296
19237,6958,822489057087389700
30150,15911,822462944365645825
37098,10693,822244816520155136
0,5219,822163064745328640
12029,2543,821886076407029760
0,3630,821813639212650496
8921,1810,821765923262631936
8503,1929,821522889702862852
0,6077,821421320206483457
12477,4720,821407182352777218
268,10,821153421864615936
9244,2190,821149554670182400
10164,2314,821107785811234820
13441,2491,821044531881721856
0,7290,820837357901512704
33470,10771,820749716845686786
12947,3500,820690176645140481
0,614,820494788566847489
0,2813,820446719150292993
3538,614,820314633777061888
21023,6841,820078625395449857
0,1287,820013781606658049
5646,1287,819952236453363712
13649,5265,819924195358416896
14279,3406,819711362133872643
10151,2142,819588359383371776
7662,1314,819347104292290561
2422,440,819238181065359361
24509,7290,819227688460238848
0,39996,819015337530290176
0,20609,819015331746349057
47977,20609,819006400881917954
92040,39996,819004803107983360
0,22727,818646164899774465
23571,8110,818627210458333184
10479,2813,818614493328580609
0,6687,818588835076603904
11585,2700,818536468981415936
0,8854,818307523543449600
11722,2488,818259473185828864
13058,2830,818145370475810820
5145,859,817908911860748288
55078,29601,817827839487737858
11376,2913,817777686764523521
12549,3304,817536400337801217
0,3698,817502432452313088
36341,16301,817423860136083457
5969,1049,817415592588222464
0,9269,817181837579653120
9279,2194,817171292965273600
12944,2859,817120970343411712
9114,1802,817056546584727552
0,5143,816829038950027264
10634,2217,816816676327063552
10425,2407,816697700272001025
32516,8854,816450570814898180
